hotel_name,district,price,rating,month
The Royal Garden,Yau Tsim Mong,2164,7.9,Apr
Ramada Hong Kong Harbour View,Hong Kong Island,1165,5.2,Apr
Hyatt Centric Victoria Harbour,Hong Kong Island,3120,8.1,Apr
Harbour Grand Hong Kong,Hong Kong Island,2820,8.2,Apr
The Kowloon Hotel,Yau Tsim Mong,2026,7.4,Apr
BEST WESTERN PLUS Hotel Hong Kong,Hong Kong Island,1438,7.1,Apr
Ibis Hong Kong Central & Sheung Wan,Hong Kong Island,1862,7.8,Apr
"Cordis, Hong Kong",Yau Tsim Mong,3050,8.5,Apr
Ramada Hong Kong Grand,Yau Tsim Mong,1127,5.8,Apr
Harbour Plaza 8 Degrees,Kowloon City,938,7.2,Apr
Hotel ICON,Yau Tsim Mong,3243,8.8,Apr
"Hyatt Regency Hong Kong, Sha Tin",Sha Tin,1836,8.2,Apr
The Stellar,Hong Kong Island,2546,8.9,Apr
Grand Bay View Hotel,Tsuen Wan,972,7.9,Apr
"Dorsett Mongkok, Hong Kong",Yau Tsim Mong,1358,7.9,Apr
"Dorsett Tsuen Wan, Hong Kong",Kwai Chung,923,7.6,Apr
"Four Points by Sheraton Hong Kong, Tung Chung",Lantau,1850,8.6,Apr
Eaton HK,Yau Tsim Mong,2330,8.2,Apr
Nina Hotel Tsuen Wan West,Tsuen Wan,1479,7.6,Apr
"Kowloon Shangri-La, Hong Kong",Yau Tsim Mong,3850,8.6,Apr
Asia inn (Block B),Yau Tsim Mong,684,0.0,Apr
"InterContinental Grand Stanford Hong Kong, an IHG Hotel",Yau Tsim Mong,3096,8.1,Apr
"Gateway Hotel, Marco Polo",Yau Tsim Mong,2854,8.1,Apr
"Kerry Hotel, Hong Kong",Kowloon City,4800,8.8,Apr
Best Western Plus Hotel Kowloon,Yau Tsim Mong,1200,5.5,Apr
Prudential Hotel,Yau Tsim Mong,1900,7.4,Apr
Harbour Grand Kowloon,Kowloon City,2280,8.0,Apr
B P International,Yau Tsim Mong,1864,7.6,Apr
Courtyard by Marriott Hong Kong Sha Tin,Sha Tin,1750,8.2,Apr
W Hong Kong,Yau Tsim Mong,5300,8.6,Apr
Courtyard by Marriott Hong Kong,Hong Kong Island,3000,8.4,Apr
"Prince Hotel, Marco Polo",Yau Tsim Mong,2850,8.7,Apr
New World Millennium Hong Kong Hotel,Yau Tsim Mong,2963,8.2,Apr
Four Seasons Hotel Hong Kong,Hong Kong Island,10384,9.4,Apr
Shama Hub Metro South Hong Kong,Southern,1313,0.0,Apr
Royal Plaza Hotel,Yau Tsim Mong,2800,8.3,Apr
Rambler Oasis Hotel,Tsing Yi,676,5.9,Apr
Ramada Hong Kong Grand View,Hong Kong Island,1191,5.8,Apr
Panda Hotel,Tsuen Wan,1005,7.2,Apr
Royal Park Hotel,Sha Tin,1937,8.0,Apr
The Luxe Manor,Yau Tsim Mong,1955,8.1,Apr
Royal Park Hotel,Sha Tin,1837,8.0,Apr
Royal View Hotel,Tsuen Wan,1089,7.6,Apr
